candidate_id,role,frag_from,frag_to,chemotype_from,chemotype_to,layer,cross_layer,undirected_key,frag_ratio,n_pairs,global_n_support,composite_gated,composite_z,n_improve,n_worsen,has_tradeoff,has_local_evidence,z_Hf,sig_Hf,local_mean_d_Hf,z_Q,sig_Q,local_mean_d_Q,z_OBgood,sig_OBgood,local_mean_d_OBgood,z_Pe,sig_Pe,local_mean_d_Pe,z_D,sig_D,local_mean_d_D,z_P,sig_P,local_mean_d_P,z_IS,sig_IS,local_mean_d_IS,z_nu,sig_nu,local_mean_d_nu
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]N=Nn1nnnc1[*:2],azole_ring,azo,linker,False,*N=Nn1nnnc1*||*c1nnnn1*,0.356653,386,386,4.35206,4.35206,6,0,False,False,1.23532,True,,0.615186,True,,0.330104,True,,1.0263,True,,0.60749,True,,0.537659,True,,0.166134,True,,,,
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]N=Nn1nnc([*:2])n1,azole_ring,azo,linker,False,*N=Nn1nnc(*)n1||*c1nnnn1*,0.355887,402,402,3.93208,3.93208,6,0,False,False,1.17085,True,,0.536145,True,,0.333633,True,,0.916776,True,,0.52508,True,,0.449589,True,,-0.0634601,False,,,,
cand_001,actionable,[*:1]c1nnnn1[*:2],[*:1]N=Nc1nnnn1[*:2],azole_ring,azo,linker,False,*N=Nc1nnnn1*||*c1nnnn1*,0.351097,336,336,3.75447,3.75447,6,0,False,False,1.17631,True,,0.503957,True,,0.330506,True,,0.868255,True,,0.473577,True,,0.401863,True,,0.159668,True,,,,
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]NNn1nnnc1[*:2],azole_ring,hydrazo,linker,False,*NNn1nnnc1*||*c1nnnn1*,0.35995,369,369,3.64902,3.64902,6,0,False,False,0.89669,True,,0.272185,True,,0.0281111,True,,1.47287,True,,0.55144,True,,0.42772,True,,0.0963791,True,,,,
cand_001,actionable,[*:1]c1nnnn1[*:2],[*:1]N=Nc1nnn([*:2])n1,azole_ring,azo,linker,False,*N=Nc1nnn(*)n1||*c1nnnn1*,0.356667,329,329,3.62297,3.62297,6,0,False,False,1.12524,True,,0.47018,True,,0.353315,True,,0.823885,True,,0.464077,True,,0.38627,True,,0.0930074,True,,,,
cand_001,actionable,[*:1]c1nnnn1[*:2],[*:1]N=Nn1nnnc1[*:2],azole_ring,azo,linker,False,*N=Nn1nnnc1*||*c1nnnn1*,0.354557,319,319,3.49741,3.49741,6,0,False,False,1.09274,True,,0.42757,True,,0.346433,True,,0.758009,True,,0.470057,True,,0.402601,True,,0.219847,True,,,,
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]NNc1nnnn1[*:2],azole_ring,hydrazo,linker,False,*NNc1nnnn1*||*c1nnnn1*,0.357605,308,308,3.39303,3.39303,6,0,False,False,0.844118,True,,0.200872,True,,0.0369562,True,,1.37573,True,,0.528407,True,,0.406946,True,,-0.0578213,False,,,,
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]NNn1nnc([*:2])n1,azole_ring,hydrazo,linker,False,*NNn1nnc(*)n1||*c1nnnn1*,0.361736,393,393,3.28999,3.28999,6,0,False,False,0.833756,True,,0.207705,True,,0.0440876,True,,1.38185,True,,0.481115,True,,0.341475,True,,-0.243635,True,,,,
cand_001,actionable,[*:1]c1nnnn1[*:2],[*:1]N=Nn1nnc([*:2])n1,azole_ring,azo,linker,False,*N=Nn1nnc(*)n1||*c1nnnn1*,0.351134,325,325,3.02894,3.02894,6,0,False,False,1.03313,True,,0.332837,True,,0.326176,True,,0.62886,True,,0.384432,True,,0.323499,True,,0.0338713,False,,,,
cand_001,actionable,[*:2]c1nnnn1[*:1],[*:1]NNc1nnn([*:2])n1,azole_ring,hydrazo,linker,False,*NNc1nnn(*)n1||*c1nnnn1*,0.354073,326,326,2.92851,2.92851,6,0,False,False,0.787273,True,,0.125173,True,,0.0243631,True,,1.22938,True,,0.436184,True,,0.326137,True,,-0.0216373,False,,,,
